id,name,place,verses
1,الفاتحة,1,7
2,البقرة,2,286
3,آل عمران,2,200
4,النساء,2,176
5,المائدة,2,120
6,الأنعام,1,165
7,الأعراف,1,206
8,الأنفال,2,75
9,التوبة,2,129
10,يونس,1,109
11,هود,1,123
12,يوسف,1,111
13,الرعد,2,43
14,إبراهيم,1,52
15,الحجر,1,99
16,النحل,1,128
17,الإسراء,1,111
18,الكهف,1,110
19,مريم,1,98
20,طه,1,135
21,الأنبياء,1,112
22,الحج,2,78
23,المؤمنون,1,118
24,النور,2,64
25,الفرقان,1,77
26,الشعراء,1,227
27,النمل,1,93
28,القصص,1,88
29,العنكبوت,1,69
30,الروم,1,60
31,لقمان,1,34
32,السجدة,1,30
33,الأحزاب,2,73
34,سبأ,1,54
35,فاطر,1,45
36,يس,1,83
37,الصافات,1,182
38,ص,1,88
39,الزمر,1,75
40,غافر,1,85
41,فصلت,1,54
42,الشورى,1,53
43,الزخرف,1,89
44,الدخان,1,59
45,الجاثية,1,37
46,الأحقاف,1,35
47,محمد,2,38
48,الفتح,2,29
49,الحجرات,2,18
50,ق,1,45
51,الذاريات,1,60
52,الطور,1,49
53,النجم,1,62
54,القمر,1,55
55,الرحمن,2,78
56,الواقعة,1,96
57,الحديد,2,29
58,المجادلة,2,22
59,الحشر,2,24
60,الممتحنة,2,13
61,الصف,2,14
62,الجمعة,2,11
63,المنافقون,2,11
64,التغابن,2,18
65,الطلاق,2,12
66,التحريم,2,12
67,الملك,1,30
68,القلم,1,52
69,الحاقة,1,52
70,المعارج,1,44
71,نوح,1,28
72,الجن,1,28
73,المزمل,1,20
74,المدثر,1,56
75,القيامة,1,40
76,الإنسان,2,31
77,المرسلات,1,50
78,النبأ,1,40
79,النازعات,1,46
80,عبس,1,42
81,التكوير,1,29
82,الإنفطار,1,19
83,المطففين,1,36
84,الانشقاق,1,25
85,البروج,1,22
86,الطارق,1,17
87,الأعلى,1,19
88,الغاشية,1,26
89,الفجر,1,30
90,البلد,1,20
91,الشمس,1,15
92,الليل,1,21
93,الضحى,1,11
94,الشرح,1,8
95,التين,1,8
96,العلق,1,19
97,القدر,1,5
98,البينة,2,8
99,الزلزلة,2,8
100,العاديات,1,11
101,القارعة,1,11
102,التكاثر,1,8
103,العصر,1,3
104,الهمزة,1,9
105,الفيل,1,5
106,قريش,1,4
107,الماعون,1,7
108,الكوثر,1,3
109,الكافرون,1,6
110,النصر,2,3
111,المسد,1,5
112,الإخلاص,1,4
113,الفلق,1,5
114,الناس,1,6
